timestamp,setpoint_phi,output_phi,phi,Kp_phi,Ki_phi,Kd_phi,setpoint_theta,theta,output_theta,Kp_theta,Ki_theta,Kd_theta,rot_pos,rot_vel,flex_pos,flex_vel
11:49:19.497,175.488967065545,1.06538160958507E-06,175.488967065545,0.32,0.06,0.00879,180,186.788974574439,-3.88207144115558,0.29,0.42,0.008,2115,0,2009,0
11:49:19.499,175.488967065545,1.06538160958507E-06,175.488967065545,0.32,0.06,0.00879,180,186.788974574439,-3.88777417979811,0.29,0.42,0.008,2115,0,2009,0
11:49:19.501,175.488967065545,1.06538160958507E-06,175.488967065545,0.32,0.06,0.00879,180,186.788974574439,-3.89347691844064,0.29,0.42,0.008,2115,0,2009,0
11:49:19.503,175.488967065545,1.06538160958507E-06,175.488967065545,0.32,0.06,0.00879,180,186.788974574439,-3.8963282877619,0.29,0.42,0.008,2115,0,2009,0
11:49:19.506,175.488967065545,1.06538160958507E-06,175.488967065545,0.32,0.06,0.00879,180,186.788974574439,-3.90203102640443,0.29,0.42,0.008,2115,0,2009,0
11:49:19.508,175.488967065545,1.06538160958507E-06,175.488967065545,0.32,0.06,0.00879,180,186.788974574439,-3.90773376504696,0.29,0.42,0.008,2115,0,2009,0
11:49:19.510,175.488967065545,1.06538160958507E-06,175.488967065545,0.32,0.06,0.00879,180,186.788974574439,-3.91058513436822,0.29,0.42,0.008,2115,0,2009,0
11:49:19.512,175.488967065545,1.06538160958507E-06,175.488967065545,0.32,0.06,0.00879,180,186.788974574439,-3.91628787301075,0.29,0.42,0.008,2115,0,2009,0
11:49:19.514,175.488967065545,1.06538160958507E-06,175.488967065545,0.32,0.06,0.00879,180,186.788974574439,-3.91913924233202,0.29,0.42,0.008,2115,0,2009,0
11:49:19.517,175.488967065545,1.06538160958507E-06,175.488967065545,0.32,0.06,0.00879,180,186.788974574439,-3.92484198097455,0.29,0.42,0.008,2115,0,2009,0
11:49:19.519,175.488967065545,1.06538160958507E-06,175.488967065545,0.32,0.06,0.00879,180,186.788974574439,-3.93054471961707,0.29,0.42,0.008,2115,0,2009,0
11:49:19.521,175.488967065545,1.06538160958507E-06,175.488967065545,0.32,0.06,0.00879,180,186.788974574439,-3.93339608893834,0.29,0.42,0.008,2114,0,2009,0
11:49:19.524,175.488967065545,1.06538160958507E-06,175.488967065545,0.32,0.06,0.00879,180,186.788974574439,-3.93909882758087,0.29,0.42,0.008,2115,0,2009,0
11:49:19.526,175.488967065545,1.06538160958507E-06,175.488967065545,0.32,0.06,0.00879,180,186.788974574439,-3.9448015662234,0.29,0.42,0.008,2115,0,2009,0
11:49:19.528,175.488967065545,1.06538160958507E-06,175.488967065545,0.32,0.06,0.00879,180,186.788974574439,-3.94765293554466,0.29,0.42,0.008,2115,0,2009,0
11:49:19.531,175.488967065545,1.06538160958507E-06,175.488967065545,0.32,0.06,0.00879,180,186.788974574439,-3.95335567418719,0.29,0.42,0.008,2115,0,2009,0
11:49:19.533,175.488967065545,1.06538160958507E-06,175.488967065545,0.32,0.06,0.00879,180,186.788974574439,-3.95905841282972,0.29,0.42,0.008,2115,0,2009,0
11:49:19.535,175.488967065545,1.06538160958507E-06,175.488967065545,0.32,0.06,0.00879,180,186.788974574439,-3.96190978215098,0.29,0.42,0.008,2115,0,2009,0
11:49:19.538,175.488967065545,1.06538160958507E-06,175.488967065545,0.32,0.06,0.00879,180,186.788974574439,-3.96761252079351,0.29,0.42,0.008,2115,0,2009,0
