timestamp,setpoint_phi,output_phi,phi,Kp_phi,Ki_phi,Kd_phi,setpoint_theta,theta,output_theta,Kp_theta,Ki_theta,Kd_theta,rot_pos,rot_vel,flex_pos,flex_vel
16:06:18.488,174.33443300609,-0.0462198782960139,174.07435062021,0.452726143894679,0.436791376243724,0.047775713404527,180,172.986943996163,31.2822266372576,0.29,0.42,0.008,2094,0,2021,0
16:06:18.491,174.33443300609,-0.0459927091603759,174.07435062021,0.4527261629343,0.436791481088215,0.0477757381992795,180,172.986943996163,31.2881176043009,0.29,0.42,0.008,2094,0,2022,0
16:06:18.493,174.33443300609,-0.0458791249516279,174.07435062021,0.45272617267598,0.436791534732213,0.047775750885589,180,172.986943996163,31.2910630878225,0.29,0.42,0.008,2094,0,2021,0
16:06:18.495,174.33443300609,-0.0457655321455441,174.07435062021,0.452726177660339,0.436791562179325,0.0477757573765773,180,172.986943996163,31.2940085713441,0.29,0.42,0.008,2094,0,2021,0
16:06:18.497,174.33443300609,-0.0455383331488173,174.07435062021,0.452726180210602,0.436791576222723,0.047775760697711,180,172.986943996163,31.2998995383873,0.29,0.42,0.008,2094,0,2022,0
16:06:18.499,174.33443300609,-0.0454247336983795,174.07435062021,0.452726181515451,0.436791583408069,0.047775762396979,180,172.986943996163,31.3028450219089,0.29,0.42,0.008,2094,0,2021,0
16:06:18.501,174.33443300609,-0.0451975313019204,174.07435062021,0.452726182183082,0.436791587084473,0.0477757632664145,180,172.986943996163,31.3087359889521,0.29,0.42,0.008,2094,0,2021,0
16:06:18.504,174.33443300609,-0.0449703283176131,174.07435062021,0.452726182524677,0.436791588965517,0.0477757637112638,180,172.986943996163,31.3146269559954,0.29,0.42,0.008,2094,0,2022,0
16:06:18.506,174.33443300609,-0.0448567268318504,174.07435062021,0.452726182699455,0.436791589927958,0.0477757639388723,180,172.986943996163,31.317572439517,0.29,0.42,0.008,2094,0,2021,0
16:06:18.508,174.33443300609,-0.0446295233939716,174.07435062021,0.45272618278888,0.436791590420394,0.0477757640553289,180,172.986943996163,31.3234634065602,0.29,0.42,0.008,2094,0,2021,0
16:06:18.510,174.33443300609,-0.0444023198776663,174.07435062021,0.452726182834635,0.43679159067235,0.0477757641149143,180,172.986943996163,31.3293543736034,0.29,0.42,0.008,2094,0,2021,0
16:06:18.513,174.33443300609,-0.0440615145222296,174.07435062021,0.452726182858046,0.436791590801265,0.0477757641454013,180,172.986943996163,31.3381908241683,0.29,0.42,0.008,2094,0,2022,0
16:06:18.516,174.33443300609,-0.0438343109453782,174.07435062021,0.452726182870024,0.436791590867224,0.047775764161,180,172.986943996163,31.3440817912115,0.29,0.42,0.008,2094,0,2021,0
16:06:18.519,174.33443300609,-0.0436071073580806,174.07435062021,0.452726182876153,0.436791590900972,0.0477757641689812,180,172.986943996163,31.3499727582547,0.29,0.42,0.008,2094,0,2021,0
16:06:18.521,174.33443300609,-0.0434935055645452,174.07435062021,0.452726182879288,0.43679159091824,0.0477757641730648,180,172.986943996163,31.3529182417763,0.29,0.42,0.008,2094,0,2021,0
16:06:18.523,174.33443300609,-0.0432663019691877,174.07435062021,0.452726182880893,0.436791590927075,0.0477757641751542,180,172.986943996163,31.3588092088195,0.29,0.42,0.008,2094,0,2021,0
16:06:18.525,174.33443300609,-0.0431527001715385,174.07435062021,0.452726182881714,0.436791590931595,0.0477757641762232,180,172.986943996163,31.3617546923411,0.29,0.42,0.008,2094,0,2022,0
16:06:18.528,174.33443300609,-0.0429254965740761,174.07435062021,0.452726182882134,0.436791590933908,0.0477757641767702,180,172.986943996163,31.3676456593844,0.29,0.42,0.008,2094,0,2022,0
16:06:18.530,174.33443300609,-0.0428118947753527,174.07435062021,0.452726182882349,0.436791590935091,0.0477757641770501,180,172.986943996163,31.370591142906,0.29,0.42,0.008,2094,0,2021,0
16:06:18.533,174.33443300609,-0.0425846911773405,174.07435062021,0.452726182882459,0.436791590935697,0.0477757641771932,180,172.986943996163,31.3764821099492,0.29,0.42,0.008,2094,0,2021,0
16:06:18.536,174.33443300609,-0.0423574875792333,174.07435062021,0.452726182882515,0.436791590936007,0.0477757641772665,180,172.986943996163,31.3823730769924,0.29,0.42,0.008,2094,0,2021,0
16:06:18.538,174.33443300609,-0.0422438857801808,174.07435062021,0.452726182882544,0.436791590936165,0.047775764177304,180,172.986943996163,31.385318560514,0.29,0.42,0.008,2094,0,2021,0
16:06:18.540,174.33443300609,-0.0419965735049712,174.07435062021,0.452713822769788,0.436727824947883,0.0477595299444392,180,172.986943996163,31.3912095275573,0.29,0.42,0.008,2093,0,2021,0
16:06:18.543,174.33443300609,-0.0417787592993457,174.07435062021,0.452720061734836,0.436757883931489,0.0477677927824059,180,172.986943996163,31.3971004946005,0.29,0.42,0.008,2094,0,2021,0
16:06:18.549,174.33443300609,-0.0411024101478797,174.07435062021,0.452723050978971,0.436774344646183,0.0477716855892094,180,172.986943996163,31.4147733957301,0.29,0.42,0.008,2094,0,2021,0
16:06:18.552,174.33443300609,-0.0408778763624343,174.07435062021,0.4527245804347,0.436782766820238,0.0477736773554888,180,173.211025425561,30.4591668022526,0.29,0.42,0.008,2094,0,2021,0
16:06:18.555,174.33443300609,-0.325963284000549,174.086070959199,0.452727986831889,0.436815759337145,0.0477776561915033,180,173.211025425561,31.3611952584896,0.29,0.42,0.008,2094,0,2022,0
16:06:18.558,174.33443300609,-0.0456568688965389,174.086070959199,0.452730402040114,0.436829059038251,0.047780801447825,180,173.211025425561,31.3697493664534,0.29,0.42,0.008,2094,0,2022,0
16:06:18.561,174.33443300609,0.146661447137087,174.07435062021,0.452729013942071,0.436807180583936,0.0477794509848355,180,173.211025425561,31.3783034744172,0.29,0.42,0.008,2094,0,2021,0
16:06:18.564,174.33443300609,-0.0397727426851037,174.07435062021,0.452727631402659,0.436799567426297,0.0477776505434571,180,173.211025425561,31.3840062130597,0.29,0.42,0.008,2094,0,2021,0
16:06:18.568,174.33443300609,-0.0394307133543415,174.07435062021,0.452726924022221,0.436795672131352,0.0477767293422245,180,173.211025425561,31.3925603210235,0.29,0.42,0.008,2094,0,2021,0
16:06:18.570,174.33443300609,-0.0393164879672638,174.07435062021,0.452726562088898,0.436793679092007,0.0477762580068502,180,173.211025425561,31.3954116903448,0.29,0.42,0.008,2094,0,2021,0
