timestamp,setpoint_phi,output_phi,phi,Kp_phi,Ki_phi,Kd_phi,setpoint_theta,theta,output_theta,Kp_theta,Ki_theta,Kd_theta,rot_pos,rot_vel,flex_pos,flex_vel
14:50:47.199,177.485632969759,0.256178935423889,177.023300531888,0.3355282,0.11902373,0.028824365,180,167.495656755422,22.3762087248504,0.29,0.42,0.008,2127,0,2069,0
14:50:47.203,177.485632969759,0.25639904954891,177.023300531888,0.3355282,0.11902373,0.028824365,180,167.495656755422,22.3972160215012,0.29,0.42,0.008,2127,0,2069,0
14:50:47.206,177.485632969759,0.256509106611421,177.023300531888,0.3355282,0.11902373,0.028824365,180,167.495656755422,22.4077196698267,0.29,0.42,0.008,2127,0,2069,0
14:50:47.209,177.485632969759,0.256619163673931,177.023300531888,0.3355282,0.11902373,0.028824365,180,167.495656755422,22.4182233181521,0.29,0.42,0.008,2127,0,2069,0
14:50:47.212,177.485632969759,0.256784249267698,177.023300531888,0.3355282,0.11902373,0.028824365,180,167.495656755422,22.4339787906403,0.29,0.42,0.008,2127,0,2069,0
14:50:47.215,177.485632969759,0.256894306330208,177.023300531888,0.3355282,0.11902373,0.028824365,180,167.495656755422,22.4444824389657,0.29,0.42,0.008,2127,0,2069,0
14:50:47.218,177.485632969759,0.257004363392719,177.023300531888,0.3355282,0.11902373,0.028824365,180,167.495656755422,22.4549860872912,0.29,0.42,0.008,2127,0,2069,0
14:50:47.221,177.485632969759,0.25711442045523,177.023300531888,0.3355282,0.11902373,0.028824365,180,167.495656755422,22.4654897356166,0.29,0.42,0.008,2127,0,2069,0
14:50:47.224,177.485632969759,0.257279506048996,177.023300531888,0.3355282,0.11902373,0.028824365,180,167.495656755422,22.4812452081048,0.29,0.42,0.008,2127,0,2069,0
14:50:47.227,177.485632969759,0.257389563111506,177.023300531888,0.3355282,0.11902373,0.028824365,180,167.495656755422,22.4917488564303,0.29,0.42,0.008,2127,0,2069,0
14:50:47.230,177.485632969759,0.257499620174017,177.023300531888,0.3355282,0.11902373,0.028824365,180,167.495656755422,22.5022525047557,0.29,0.42,0.008,2127,0,2069,0
14:50:47.233,177.485632969759,0.257609677236528,177.023300531888,0.3355282,0.11902373,0.028824365,180,167.495656755422,22.5127561530811,0.29,0.42,0.008,2127,0,2069,0
14:50:47.236,177.485632969759,0.257719734299038,177.023300531888,0.3355282,0.11902373,0.028824365,180,167.495656755422,22.5232598014066,0.29,0.42,0.008,2127,0,2069,0
14:50:47.239,177.485632969759,0.257829791361549,177.023300531888,0.3355282,0.11902373,0.028824365,180,167.495656755422,22.533763449732,0.29,0.42,0.008,2127,0,2069,0
14:50:47.242,177.485632969759,0.257994876955315,177.023300531888,0.3355282,0.11902373,0.028824365,180,167.495656755422,22.5495189222202,0.29,0.42,0.008,2127,0,2069,0
14:50:47.245,177.485632969759,0.258159962549081,177.023300531888,0.3355282,0.11902373,0.028824365,180,167.495656755422,22.5652743947084,0.29,0.42,0.008,2127,0,2069,0
14:50:47.248,177.485632969759,0.258270019611592,177.023300531888,0.3355282,0.11902373,0.028824365,180,167.495656755422,22.5757780430338,0.29,0.42,0.008,2127,0,2069,0
14:50:47.251,177.485632969759,0.258435105205358,177.023300531888,0.3355282,0.11902373,0.028824365,180,167.495656755422,22.591533515522,0.29,0.42,0.008,2127,0,2069,0
14:50:47.254,177.485632969759,0.258545162267869,177.023300531888,0.3355282,0.11902373,0.028824365,180,167.495656755422,22.6020371638474,0.29,0.42,0.008,2127,0,2069,0
14:50:47.257,177.485632969759,0.258710247861635,177.023300531888,0.3355282,0.11902373,0.028824365,180,167.495656755422,22.6177926363356,0.29,0.42,0.008,2127,0,2069,0
14:50:47.260,177.485632969759,0.258875333455401,177.023300531888,0.3355282,0.11902373,0.028824365,180,167.495656755422,22.6335481088238,0.29,0.42,0.008,2127,0,2069,0
14:50:47.263,177.485632969759,0.258985390517911,177.023300531888,0.3355282,0.11902373,0.028824365,180,167.495656755422,22.6440517571492,0.29,0.42,0.008,2127,0,2069,0
14:50:47.266,177.485632969759,0.259150476111678,177.023300531888,0.3355282,0.11902373,0.028824365,180,167.495656755422,22.6598072296374,0.29,0.42,0.008,2127,0,2069,0
14:50:47.269,177.485632969759,0.259315561705444,177.023300531888,0.3355282,0.11902373,0.028824365,180,167.495656755422,22.6755627021255,0.29,0.42,0.008,2127,0,2069,0
14:50:47.272,177.485632969759,0.259425618767954,177.023300531888,0.3355282,0.11902373,0.028824365,180,167.495656755422,22.686066350451,0.29,0.42,0.008,2127,0,2070,0
14:50:47.276,177.485632969759,0.25959070436172,177.023300531888,0.3355282,0.11902373,0.028824365,180,167.495656755422,22.7018218229392,0.29,0.42,0.008,2127,0,2069,0
14:50:47.279,177.485632969759,0.259700761424231,177.023300531888,0.3355282,0.11902373,0.028824365,180,167.495656755422,22.7123254712646,0.29,0.42,0.008,2127,0,2069,0
14:50:47.282,177.485632969759,0.259810818486742,177.023300531888,0.3355282,0.11902373,0.028824365,180,167.495656755422,22.7228291195901,0.29,0.42,0.008,2127,0,2069,0
14:50:47.284,177.485632969759,0.259920875549252,177.023300531888,0.3355282,0.11902373,0.028824365,180,167.495656755422,22.7333327679155,0.29,0.42,0.008,2127,0,2069,0
14:50:47.287,177.485632969759,-3.11151662675851,177.251911819946,0.3355282,0.11902373,0.028824365,180,167.495656755422,22.7438364162409,0.29,0.42,0.008,2127,0,2069,0
14:50:47.290,177.485632969759,0.183326615019591,177.251911819946,0.3355282,0.11902373,0.028824365,180,167.495656755422,22.7543400645664,0.29,0.42,0.008,2127,0,2069,0
14:50:47.294,177.485632969759,0.183437888471713,177.251911819946,0.3355282,0.11902373,0.028824365,180,167.495656755422,22.7753473612173,0.29,0.42,0.008,2127,0,2069,0
14:50:47.298,177.485632969759,0.183521343560805,177.251911819946,0.3355282,0.11902373,0.028824365,180,167.495656755422,22.7911028337055,0.29,0.42,0.008,2127,0,2069,0
14:50:47.302,177.485632969759,0.183632617012927,177.251911819946,0.3355282,0.11902373,0.028824365,180,167.495656755422,22.8121101303563,0.29,0.42,0.008,2127,0,2069,0
14:50:47.305,177.485632969759,0.183716072102019,177.251911819946,0.3355282,0.11902373,0.028824365,180,167.495656755422,22.8278656028445,0.29,0.42,0.008,2127,0,2069,0
14:50:47.308,177.485632969759,0.18377170882808,177.251911819946,0.3355282,0.11902373,0.028824365,180,167.495656755422,22.83836925117,0.29,0.42,0.008,2127,0,2069,0
14:50:47.312,177.485632969759,0.183855163917172,177.251911819946,0.3355282,0.11902373,0.028824365,180,167.495656755422,22.8541247236581,0.29,0.42,0.008,2127,0,2069,0
14:50:47.314,177.485632969759,0.183910800643233,177.251911819946,0.3355282,0.11902373,0.028824365,180,167.495656755422,22.8646283719836,0.29,0.42,0.008,2127,0,2069,0
14:50:47.323,177.485632969759,0.184133347547478,177.251911819946,0.3355282,0.11902373,0.028824365,180,167.495656755422,22.9066429652854,0.29,0.42,0.008,2127,0,2069,0
14:50:47.327,177.485632969759,0.184216802636569,177.251911819946,0.3355282,0.11902373,0.028824365,180,167.495656755422,22.9223984377735,0.29,0.42,0.008,2127,0,2069,0
14:50:47.329,177.485632969759,0.184272439362631,177.251911819946,0.3355282,0.11902373,0.028824365,180,167.495656755422,22.932902086099,0.29,0.42,0.008,2127,0,2069,0
14:50:47.336,177.485632969759,0.184439349540814,177.251911819946,0.3355282,0.11902373,0.028824365,180,167.495656755422,22.9644130310753,0.29,0.42,0.008,2127,0,2069,0
