timestamp,setpoint_phi,output_phi,phi,Kp_phi,Ki_phi,Kd_phi,setpoint_theta,theta,output_theta,Kp_theta,Ki_theta,Kd_theta,rot_pos,rot_vel,flex_pos,flex_vel
13:49:03.344,179.092420002659,0.0355001022485734,179.095999604575,0.436625335126963,0.0197828104132445,0.0527775721588371,180,172.092837297042,118.749959783196,0.29,0.42,0.008,2174,0,2087,0
13:49:03.348,179.092420002659,0.035435719305686,179.095999604575,0.43664200687101,0.0197485903589416,0.0528031636457237,180,172.092837297042,118.759922808201,0.29,0.42,0.008,2175,0,2086,0
13:49:03.351,179.092420002659,0.0354426389650094,179.095999604575,0.436640154007887,0.0197523935049413,0.0528003194608455,180,172.092837297042,118.769885833207,0.29,0.42,0.008,2175,0,2086,0
13:49:03.357,179.092420002659,0.0354414928377145,179.095999604575,0.436640359931259,0.0197519708311674,0.0528006355576654,180,172.092837297042,118.786490874883,0.29,0.42,0.008,2175,0,2086,0
13:49:03.359,179.092420002659,0.0354414395167792,179.095999604575,0.436640337045362,0.0197520178062557,0.0528006004273191,180,172.092837297042,118.793132891554,0.29,0.42,0.008,2175,0,2087,0
13:49:03.362,179.092420002659,0.00334565853999521,179.09777883847,0.436641115328703,0.0197504203190274,0.0528017951090427,180,171.647205565335,120.121241899288,0.29,0.42,0.008,2175,0,2087,0
13:49:03.366,179.092420002659,0.0347190329313933,179.09777883847,0.436626024367099,0.0197813956941343,0.0527786301573206,180,171.647205565335,118.943415135724,0.29,0.42,0.008,2174,0,2086,0
13:49:03.369,179.092420002659,0.0347122566655805,179.09777883847,0.436627701545334,0.019777953155064,0.0527812046621035,180,171.647205565335,118.953939656712,0.29,0.42,0.008,2174,0,2087,0
13:49:03.372,179.092420002659,0.0347127624444156,179.09777883847,0.436627515147216,0.0197783357517302,0.0527809185369712,180,171.647205565335,118.960956004037,0.29,0.42,0.008,2174,0,2087,0
13:49:03.375,179.092420002659,0.0347124706976428,179.09777883847,0.436627535863117,0.0197782932307287,0.0527809503363261,180,171.647205565335,118.967972351362,0.29,0.42,0.008,2174,0,2086,0
13:49:03.382,179.092420002659,0.0346540681271748,179.09777883847,0.436642538025599,0.0197475001227416,0.05280397897948,180,171.647205565335,118.989021393338,0.29,0.42,0.008,2175,0,2086,0
13:49:03.385,179.092420002659,0.0346601706659734,179.09777883847,0.436640870716315,0.0197509224050216,0.0528014196237491,180,171.647205565335,118.999545914325,0.29,0.42,0.008,2175,0,2086,0
13:49:03.387,179.092420002659,0.0347170201582943,179.09777883847,0.436626051552814,0.0197813398933362,0.0527786718879788,180,171.647205565335,119.00656226165,0.29,0.42,0.008,2174,0,2086,0
13:49:03.390,179.092420002659,0.0346526921749671,179.09777883847,0.436642702988774,0.019747161522966,0.0528042322015129,180,171.647205565335,119.013578608975,0.29,0.42,0.008,2175,0,2086,0
13:49:03.393,179.092420002659,0.0346595003650773,179.09777883847,0.436640852382649,0.0197509600362998,0.0528013914811765,180,171.647205565335,119.024103129963,0.29,0.42,0.008,2175,0,2087,0
13:49:03.396,179.092420002659,0.034658496754696,179.09777883847,0.436641058055183,0.0197505378773908,0.0528017071929544,180,171.647205565335,119.031119477288,0.29,0.42,0.008,2175,0,2086,0
13:49:03.399,179.092420002659,0.0346582672472977,179.09777883847,0.436641035197164,0.019750584795258,0.052801672105401,180,171.647205565335,119.041643998276,0.29,0.42,0.008,2175,0,2087,0
13:49:03.403,179.092420002659,0.0347157124786557,179.09777883847,0.436626033272753,0.0197813774145865,0.0527786438276907,180,171.647205565335,119.052168519264,0.29,0.42,0.008,2174,0,2086,0
13:49:03.405,179.092420002659,0.0346513086692447,179.09777883847,0.436642705020382,0.0197471573529319,0.0528042353200752,180,171.647205565335,119.059184866589,0.29,0.42,0.008,2175,0,2086,0
13:49:03.409,179.092420002659,0.0346580194443024,179.09777883847,0.436640852156861,0.0197509604997487,0.052801391134586,180,171.202589290009,120.092135787078,0.29,0.42,0.008,2175,0,2086,0
13:49:03.412,179.092420002659,0.034656909059734,179.09777883847,0.436641058080277,0.019750537825884,0.0528017072314738,180,171.202589290009,119.213987973921,0.29,0.42,0.008,2175,0,2086,0
13:49:03.415,179.092420002659,0.0346567854960604,179.09777883847,0.436641035194375,0.0197505848009824,0.05280167210112,180,171.202589290009,119.221377798917,0.29,0.42,0.008,2175,0,2086,0
13:49:03.418,179.092420002659,0.0346565640227926,179.09777883847,0.436641037737867,0.0197505795802672,0.0528016760054348,180,171.202589290009,119.228767623913,0.29,0.42,0.008,2175,0,2086,0
13:49:03.422,179.092420002659,0.0347140174833665,179.09777883847,0.436626032990384,0.0197813779941698,0.052778643394249,180,171.202589290009,119.239852361408,0.29,0.42,0.008,2174,0,2086,0
13:49:03.424,179.092420002659,0.034649615400036,179.09777883847,0.436642705051764,0.0197471572885183,0.052804235368247,180,171.202589290009,119.247242186404,0.29,0.42,0.008,2175,0,2087,0
13:49:03.428,179.092420002659,0.0346564318254142,179.09777883847,0.436640852153373,0.0197509605069075,0.0528013911292323,180,171.202589290009,119.258326923899,0.29,0.42,0.008,2175,0,2086,0
13:49:03.430,179.092420002659,0.0346554272997903,179.09777883847,0.436641058080665,0.0197505378250884,0.0528017072320688,180,171.202589290009,119.265716748895,0.29,0.42,0.008,2175,0,2086,0
13:49:03.433,179.092420002659,0.0346553037342507,179.09777883847,0.436641035194332,0.0197505848010708,0.0528016721010539,180,171.202589290009,119.273106573892,0.29,0.42,0.008,2175,0,2086,0
